product_name,ingredients
Cold and Head Congestion Severe,acetaminophen|guaifenesin|phenylephrine
PhysiciansCare Allergy Multi-Symptom Relief,acetaminophen|chlorpheniramine|phenylephrine
NOCOLD-F,acetaminophen|chlorpheniramine|dextromethorphan hydrobromide
Guaifenesin and Codeine Phosphate,codeine|guaifenesin
PMS Relief Maximum Strength,acetaminophen|pamabrom|pyrilamine maleate
CVS PHARMACY MS Adult Severe Multi Symptom Cough Cold Flu,acetaminophen|dextromethorphan hydrobromide|guaifenesin
PM Headache,acetaminophen|aspirin|diphenhydramine
Duraflu,acetaminophen|dextromethorphan hydrobromide|guaifenesin|pseudoephedrine
Duratuss AC,codeine|dexbrompheniramine maleate
CVS Nighttime Cold and Flu,acetaminophen|dextromethorphan hydrobromide|triprolidine
Haben Herb F Cap,acetaminophen|cinnamon
Goodys Back and Body Pain,acetaminophen|aspirin
